config,class,lambda
tight_clusters,negative,0.243703
tight_clusters,negative,0.129791
tight_clusters,negative,0.167759
tight_clusters,negative,0.264740
tight_clusters,negative,0.149054
tight_clusters,negative,0.131418
tight_clusters,negative,0.324830
tight_clusters,negative,0.291886
tight_clusters,negative,0.193574
tight_clusters,negative,0.499001
tight_clusters,negative,0.269216
tight_clusters,negative,0.149888
tight_clusters,negative,0.490147
tight_clusters,negative,0.197104
tight_clusters,negative,0.143769
tight_clusters,negative,0.343069
tight_clusters,negative,0.195546
tight_clusters,negative,0.333632
tight_clusters,negative,0.274380
tight_clusters,negative,0.061063
tight_clusters,negative,0.229282
tight_clusters,negative,0.199044
tight_clusters,negative,0.264441
tight_clusters,negative,0.378513
tight_clusters,negative,0.313437
tight_clusters,negative,0.217260
tight_clusters,negative,0.163235
tight_clusters,negative,0.251877
tight_clusters,negative,0.214956
tight_clusters,negative,0.309633
tight_clusters,negative,0.156850
tight_clusters,negative,0.434993
tight_clusters,negative,0.327296
tight_clusters,negative,0.253903
tight_clusters,negative,0.238229
tight_clusters,negative,0.267415
tight_clusters,negative,0.297307
tight_clusters,negative,0.245152
tight_clusters,negative,0.076536
tight_clusters,negative,0.171123
tight_clusters,negative,0.212452
tight_clusters,negative,0.313462
tight_clusters,negative,0.138791
tight_clusters,negative,0.199804
tight_clusters,negative,0.300148
tight_clusters,negative,0.143397
tight_clusters,negative,0.277063
tight_clusters,negative,0.288111
tight_clusters,negative,0.679832
tight_clusters,negative,0.480188
tight_clusters,negative,0.320778
tight_clusters,negative,0.146772
tight_clusters,negative,0.477535
tight_clusters,negative,0.142542
tight_clusters,negative,0.221293
tight_clusters,negative,0.288793
tight_clusters,negative,0.194425
tight_clusters,negative,0.354211
tight_clusters,negative,0.155699
tight_clusters,negative,0.265228
tight_clusters,negative,0.247241
tight_clusters,negative,0.327892
tight_clusters,negative,0.199931
tight_clusters,negative,0.206688
tight_clusters,negative,0.379885
tight_clusters,negative,0.293364
tight_clusters,negative,0.401123
tight_clusters,negative,0.476948
tight_clusters,negative,0.353725
tight_clusters,negative,0.345871
tight_clusters,negative,0.257712
tight_clusters,negative,0.139391
tight_clusters,negative,0.156999
tight_clusters,negative,0.344007
tight_clusters,negative,0.159921
tight_clusters,negative,0.496288
tight_clusters,negative,0.423013
tight_clusters,negative,0.164598
tight_clusters,negative,0.244074
tight_clusters,negative,0.209617
tight_clusters,negative,0.000000
tight_clusters,negative,0.288434
tight_clusters,negative,0.244890
tight_clusters,negative,0.315349
tight_clusters,negative,0.200145
tight_clusters,negative,0.200177
tight_clusters,negative,0.191970
tight_clusters,negative,0.240886
tight_clusters,negative,0.481875
tight_clusters,negative,0.144788
tight_clusters,negative,0.176186
tight_clusters,negative,0.202750
tight_clusters,negative,0.215493
tight_clusters,negative,0.187438
tight_clusters,negative,0.280993
tight_clusters,negative,0.133503
tight_clusters,negative,0.245967
tight_clusters,negative,0.115937
tight_clusters,negative,0.414624
tight_clusters,negative,0.429639
tight_clusters,negative,0.226285
tight_clusters,negative,0.356987
tight_clusters,negative,0.243429
tight_clusters,negative,0.483612
tight_clusters,negative,0.224217
tight_clusters,negative,0.302435
tight_clusters,negative,0.442413
tight_clusters,negative,0.241651
tight_clusters,negative,0.272106
tight_clusters,negative,0.310352
tight_clusters,negative,0.229424
tight_clusters,negative,0.079666
tight_clusters,negative,0.129208
tight_clusters,negative,0.231688
tight_clusters,negative,0.274624
tight_clusters,negative,0.428818
tight_clusters,negative,0.191035
tight_clusters,negative,0.093395
tight_clusters,negative,0.124482
tight_clusters,negative,1.000000
tight_clusters,negative,0.137495
tight_clusters,negative,0.241323
tight_clusters,negative,0.271924
tight_clusters,negative,0.252490
tight_clusters,negative,0.182756
tight_clusters,negative,0.314106
tight_clusters,negative,0.310557
tight_clusters,negative,0.393964
tight_clusters,negative,0.257052
tight_clusters,negative,0.284080
tight_clusters,negative,0.589494
tight_clusters,negative,0.139133
tight_clusters,negative,0.243792
tight_clusters,negative,0.261298
tight_clusters,negative,0.201603
tight_clusters,negative,0.437503
tight_clusters,negative,0.217417
tight_clusters,negative,0.421695
tight_clusters,negative,0.241268
tight_clusters,negative,0.201221
tight_clusters,negative,0.281497
tight_clusters,negative,0.718784
tight_clusters,negative,0.183141
tight_clusters,negative,0.233507
tight_clusters,negative,0.327252
tight_clusters,negative,0.161493
tight_clusters,negative,0.094026
tight_clusters,negative,0.283677
tight_clusters,negative,0.147920
tight_clusters,negative,0.308934
tight_clusters,negative,0.182567
tight_clusters,negative,0.232026
tight_clusters,negative,0.156457
tight_clusters,negative,0.302362
tight_clusters,negative,0.294742
tight_clusters,negative,0.132454
tight_clusters,negative,0.174359
tight_clusters,negative,0.314551
tight_clusters,negative,0.183282
tight_clusters,negative,0.238158
tight_clusters,negative,0.406825
tight_clusters,negative,0.295935
tight_clusters,negative,0.360336
tight_clusters,negative,0.329406
tight_clusters,negative,0.149340
tight_clusters,negative,0.236808
tight_clusters,negative,0.550930
tight_clusters,negative,0.267528
tight_clusters,negative,0.111393
tight_clusters,negative,0.323258
tight_clusters,negative,0.306988
tight_clusters,negative,0.381641
tight_clusters,negative,0.315947
tight_clusters,negative,0.241767
tight_clusters,negative,0.212818
tight_clusters,negative,0.246258
tight_clusters,negative,0.195298
tight_clusters,negative,0.146377
tight_clusters,negative,0.320667
tight_clusters,negative,0.243537
tight_clusters,negative,0.239897
tight_clusters,negative,0.263008
tight_clusters,negative,0.285971
tight_clusters,negative,0.311946
tight_clusters,negative,0.151721
tight_clusters,negative,0.276576
tight_clusters,negative,0.157473
tight_clusters,negative,0.263893
tight_clusters,negative,0.141375
tight_clusters,negative,0.153078
tight_clusters,negative,0.723064
tight_clusters,negative,0.083443
tight_clusters,negative,0.394588
tight_clusters,negative,0.250345
tight_clusters,negative,0.439638
tight_clusters,negative,0.210629
tight_clusters,negative,0.390942
tight_clusters,negative,0.176740
tight_clusters,negative,0.491722
tight_clusters,negative,0.365826
tight_clusters,negative,0.229353
tight_clusters,negative,0.288281
tight_clusters,negative,0.161576
tight_clusters,negative,0.159206
tight_clusters,negative,0.210424
tight_clusters,negative,0.278058
tight_clusters,negative,0.442655
tight_clusters,negative,0.312427
tight_clusters,negative,0.206371
tight_clusters,negative,0.278858
tight_clusters,negative,0.319687
tight_clusters,negative,0.365692
tight_clusters,negative,0.304537
tight_clusters,negative,0.174366
tight_clusters,negative,0.189085
tight_clusters,negative,0.203226
tight_clusters,negative,0.608816
tight_clusters,negative,0.183194
tight_clusters,negative,0.144264
tight_clusters,negative,0.248883
tight_clusters,negative,0.171570
tight_clusters,negative,0.194232
tight_clusters,negative,0.085115
tight_clusters,negative,0.307543
tight_clusters,negative,0.204602
tight_clusters,negative,0.369163
tight_clusters,negative,0.254985
tight_clusters,negative,0.244791
tight_clusters,negative,0.366431
tight_clusters,negative,0.356122
tight_clusters,negative,0.139306
tight_clusters,negative,0.233695
tight_clusters,negative,0.219949
tight_clusters,negative,0.228817
tight_clusters,negative,0.242912
tight_clusters,negative,0.200314
tight_clusters,negative,0.103847
tight_clusters,negative,0.245304
tight_clusters,negative,0.382611
tight_clusters,negative,0.223054
tight_clusters,negative,0.329567
tight_clusters,negative,0.433747
tight_clusters,negative,0.294991
tight_clusters,negative,0.159404
tight_clusters,negative,0.145502
tight_clusters,negative,0.498211
tight_clusters,negative,0.188478
tight_clusters,negative,0.238564
tight_clusters,negative,0.367198
tight_clusters,negative,0.221580
tight_clusters,negative,0.168778
tight_clusters,negative,0.163836
tight_clusters,negative,0.290890
tight_clusters,negative,0.280817
tight_clusters,negative,0.173050
tight_clusters,negative,0.242936
tight_clusters,negative,0.248051
tight_clusters,negative,0.150488
tight_clusters,negative,0.553519
tight_clusters,negative,0.169445
tight_clusters,negative,0.232964
tight_clusters,negative,0.147709
tight_clusters,negative,0.605752
tight_clusters,negative,0.133127
tight_clusters,negative,0.220053
tight_clusters,negative,0.294208
tight_clusters,negative,0.179115
tight_clusters,negative,0.188017
tight_clusters,negative,0.268216
tight_clusters,negative,0.172559
tight_clusters,negative,0.230315
tight_clusters,negative,0.215090
tight_clusters,negative,0.225148
tight_clusters,negative,0.267760
tight_clusters,negative,0.236585
tight_clusters,negative,0.308463
tight_clusters,negative,0.232545
tight_clusters,negative,0.461713
tight_clusters,negative,0.376728
tight_clusters,negative,0.277729
tight_clusters,negative,0.336581
tight_clusters,negative,0.333954
tight_clusters,negative,0.188709
tight_clusters,negative,0.216977
tight_clusters,negative,0.237019
tight_clusters,negative,0.180608
tight_clusters,negative,0.257256
tight_clusters,negative,0.220275
tight_clusters,negative,0.274432
tight_clusters,negative,0.165200
tight_clusters,negative,0.043089
tight_clusters,negative,0.293067
tight_clusters,negative,0.275417
tight_clusters,negative,0.292031
tight_clusters,negative,0.386853
tight_clusters,negative,0.262294
tight_clusters,negative,0.250675
tight_clusters,negative,0.292949
tight_clusters,negative,0.237868
tight_clusters,negative,0.198930
tight_clusters,negative,0.296274
tight_clusters,negative,0.367147
tight_clusters,negative,0.384802
tight_clusters,negative,0.251405
tight_clusters,negative,0.222389
tight_clusters,negative,0.258271
tight_clusters,negative,0.126676
tight_clusters,negative,0.186498
tight_clusters,negative,0.224208
tight_clusters,negative,0.309366
tight_clusters,negative,0.142534
tight_clusters,negative,0.262941
tight_clusters,negative,0.401016
tight_clusters,negative,0.209089
tight_clusters,negative,0.263924
tight_clusters,negative,0.471892
tight_clusters,negative,0.400124
tight_clusters,negative,0.259677
tight_clusters,negative,0.289328
tight_clusters,negative,0.267431
tight_clusters,negative,0.136820
tight_clusters,negative,0.293541
tight_clusters,negative,0.382327
tight_clusters,negative,0.467892
tight_clusters,negative,0.201303
tight_clusters,negative,0.497110
tight_clusters,negative,0.496714
tight_clusters,negative,0.228538
tight_clusters,negative,0.286770
tight_clusters,negative,0.140070
tight_clusters,negative,0.273557
tight_clusters,negative,0.440725
tight_clusters,negative,0.271897
tight_clusters,negative,0.315877
tight_clusters,negative,0.697488
tight_clusters,negative,0.457963
tight_clusters,negative,0.159415
tight_clusters,negative,0.120551
tight_clusters,negative,0.530811
tight_clusters,negative,0.110750
tight_clusters,negative,0.210943
tight_clusters,negative,0.494877
tight_clusters,negative,0.159787
tight_clusters,negative,0.140271
tight_clusters,negative,0.180625
tight_clusters,negative,0.210878
tight_clusters,negative,0.058591
tight_clusters,negative,0.233607
tight_clusters,negative,0.213244
tight_clusters,negative,0.282581
tight_clusters,negative,0.419256
tight_clusters,negative,0.349054
tight_clusters,negative,0.351920
tight_clusters,negative,0.234312
tight_clusters,negative,0.188648
tight_clusters,negative,0.336142
tight_clusters,negative,0.299599
tight_clusters,negative,0.179956
tight_clusters,negative,0.364068
tight_clusters,negative,0.121342
tight_clusters,negative,0.413940
tight_clusters,negative,0.262266
tight_clusters,negative,0.277256
tight_clusters,negative,0.345195
tight_clusters,negative,0.196894
tight_clusters,negative,0.196638
tight_clusters,negative,0.243417
tight_clusters,negative,0.357068
tight_clusters,negative,0.195170
tight_clusters,negative,0.168366
tight_clusters,negative,0.287958
tight_clusters,negative,0.252722
tight_clusters,negative,0.170300
tight_clusters,negative,0.265049
tight_clusters,negative,0.240878
tight_clusters,negative,0.279943
tight_clusters,negative,0.164472
tight_clusters,negative,0.147793
tight_clusters,negative,0.272564
tight_clusters,negative,0.182666
tight_clusters,negative,0.203968
tight_clusters,negative,0.301545
tight_clusters,negative,0.211907
tight_clusters,negative,0.297823
tight_clusters,negative,0.718175
tight_clusters,negative,0.305518
tight_clusters,negative,0.473239
tight_clusters,negative,0.443116
tight_clusters,negative,0.330385
tight_clusters,negative,0.347153
tight_clusters,negative,0.276169
tight_clusters,negative,0.351261
tight_clusters,negative,0.222419
tight_clusters,negative,0.128182
tight_clusters,negative,0.348412
tight_clusters,negative,0.296403
tight_clusters,negative,0.281304
tight_clusters,negative,0.239845
tight_clusters,negative,0.349683
tight_clusters,negative,0.213171
tight_clusters,negative,0.264201
tight_clusters,negative,0.186253
tight_clusters,negative,0.196216
tight_clusters,negative,0.231006
tight_clusters,negative,0.346278
tight_clusters,negative,0.198660
tight_clusters,negative,0.297076
tight_clusters,negative,0.615661
tight_clusters,negative,0.138919
tight_clusters,negative,0.303507
tight_clusters,negative,0.235387
tight_clusters,negative,0.206962
tight_clusters,negative,0.152969
tight_clusters,negative,0.360070
tight_clusters,negative,0.432487
tight_clusters,negative,0.222450
tight_clusters,negative,0.466541
tight_clusters,negative,0.211052
tight_clusters,negative,0.216257
tight_clusters,negative,0.146372
tight_clusters,negative,0.275161
tight_clusters,negative,0.293238
tight_clusters,negative,0.418147
tight_clusters,negative,0.129699
tight_clusters,negative,0.062790
tight_clusters,negative,0.220670
tight_clusters,negative,0.397208
tight_clusters,negative,0.301196
tight_clusters,negative,0.478835
tight_clusters,negative,0.121645
tight_clusters,negative,0.332696
tight_clusters,negative,0.307347
tight_clusters,negative,0.617203
tight_clusters,negative,0.386584
tight_clusters,negative,0.208725
tight_clusters,negative,0.205021
tight_clusters,negative,0.358477
tight_clusters,negative,0.235847
tight_clusters,negative,0.209740
tight_clusters,negative,0.202240
tight_clusters,negative,0.244227
tight_clusters,negative,0.289593
tight_clusters,negative,0.199870
tight_clusters,negative,0.450269
tight_clusters,negative,0.255293
tight_clusters,negative,0.200054
tight_clusters,negative,0.335069
tight_clusters,negative,0.187047
tight_clusters,negative,0.211913
tight_clusters,negative,0.308040
tight_clusters,negative,0.151080
tight_clusters,negative,0.252499
tight_clusters,negative,0.560771
tight_clusters,negative,0.188575
tight_clusters,negative,0.161701
tight_clusters,negative,0.375476
tight_clusters,negative,0.148074
tight_clusters,negative,0.390348
tight_clusters,negative,0.270938
tight_clusters,negative,0.432161
tight_clusters,negative,0.146691
tight_clusters,negative,0.340643
tight_clusters,negative,0.256957
tight_clusters,negative,0.305690
tight_clusters,negative,0.253845
tight_clusters,negative,0.242742
tight_clusters,negative,0.206590
tight_clusters,negative,0.305357
tight_clusters,negative,0.271612
tight_clusters,negative,0.310409
tight_clusters,negative,0.161374
tight_clusters,negative,0.159907
tight_clusters,negative,0.375031
tight_clusters,negative,0.275020
tight_clusters,negative,0.251427
tight_clusters,negative,0.295924
tight_clusters,negative,0.054581
tight_clusters,negative,0.244108
tight_clusters,negative,0.196033
tight_clusters,negative,0.256822
tight_clusters,negative,0.230187
tight_clusters,negative,0.526222
tight_clusters,negative,0.544404
tight_clusters,negative,0.262257
tight_clusters,negative,0.230004
tight_clusters,negative,0.164864
tight_clusters,negative,0.173984
tight_clusters,negative,0.302127
tight_clusters,negative,0.263606
tight_clusters,negative,0.279262
tight_clusters,negative,0.138282
tight_clusters,negative,0.025727
tight_clusters,negative,0.145114
tight_clusters,negative,0.226830
tight_clusters,negative,0.264618
tight_clusters,negative,0.189781
tight_clusters,negative,0.296116
tight_clusters,negative,0.467522
tight_clusters,negative,0.157520
tight_clusters,negative,0.139125
tight_clusters,negative,0.238494
tight_clusters,negative,0.020339
tight_clusters,negative,0.459093
tight_clusters,negative,0.269780
tight_clusters,negative,0.314995
tight_clusters,negative,0.230759
tight_clusters,negative,0.295945
tight_clusters,negative,0.467810
tight_clusters,negative,0.206181
tight_clusters,negative,0.304448
tight_clusters,negative,0.434724
tight_clusters,negative,0.117973
tight_clusters,negative,0.265741
tight_clusters,negative,0.252778
tight_clusters,negative,0.347349
tight_clusters,negative,0.185539
tight_clusters,negative,0.300404
tight_clusters,negative,0.240082
tight_clusters,negative,0.175709
tight_clusters,negative,0.115817
tight_clusters,negative,0.313817
tight_clusters,negative,0.248419
tight_clusters,negative,0.471309
tight_clusters,negative,0.491004
tight_clusters,negative,0.211984
tight_clusters,negative,0.606546
tight_clusters,negative,0.299743
tight_clusters,negative,0.247957
tight_clusters,negative,0.265552
tight_clusters,negative,0.182805
tight_clusters,negative,0.180382
tight_clusters,negative,0.243703
tight_clusters,negative,0.376010
tight_clusters,negative,0.165536
tight_clusters,negative,0.197173
tight_clusters,negative,0.238801
tight_clusters,negative,0.203146
tight_clusters,negative,0.255748
tight_clusters,negative,0.349747
tight_clusters,negative,0.542208
tight_clusters,negative,0.673215
tight_clusters,negative,0.126687
tight_clusters,negative,0.403663
tight_clusters,negative,0.103206
tight_clusters,negative,0.300073
tight_clusters,negative,0.203370
tight_clusters,negative,0.249840
tight_clusters,negative,0.088940
tight_clusters,negative,0.426113
tight_clusters,negative,0.448093
tight_clusters,negative,0.221949
tight_clusters,negative,0.365664
tight_clusters,negative,0.333513
tight_clusters,negative,0.476816
tight_clusters,negative,0.549060
tight_clusters,negative,0.339673
tight_clusters,negative,0.191174
tight_clusters,negative,0.079889
tight_clusters,negative,0.417203
tight_clusters,negative,0.398576
tight_clusters,negative,0.171301
tight_clusters,negative,0.068976
tight_clusters,negative,0.422347
tight_clusters,negative,0.220712
tight_clusters,negative,0.304135
tight_clusters,negative,0.334426
tight_clusters,negative,0.240192
tight_clusters,negative,0.373677
tight_clusters,negative,0.367698
tight_clusters,negative,0.480928
tight_clusters,negative,0.442821
tight_clusters,negative,0.317952
tight_clusters,negative,0.052640
tight_clusters,negative,0.184091
tight_clusters,negative,0.335627
tight_clusters,negative,0.293837
tight_clusters,negative,0.334559
tight_clusters,negative,0.302363
tight_clusters,negative,0.284873
tight_clusters,negative,0.217938
tight_clusters,negative,0.384109
tight_clusters,negative,0.288612
tight_clusters,negative,0.230490
tight_clusters,negative,0.288474
tight_clusters,negative,0.200505
tight_clusters,negative,0.284844
tight_clusters,negative,0.221473
tight_clusters,negative,0.197429
tight_clusters,negative,0.203450
tight_clusters,negative,0.062330
tight_clusters,negative,0.207336
tight_clusters,negative,0.211208
tight_clusters,negative,0.321872
tight_clusters,negative,0.263373
tight_clusters,negative,0.305338
tight_clusters,negative,0.365679
tight_clusters,negative,0.309355
tight_clusters,negative,0.335321
tight_clusters,negative,0.191073
tight_clusters,negative,0.100353
tight_clusters,negative,0.133166
tight_clusters,negative,0.312060
tight_clusters,negative,0.457894
tight_clusters,negative,0.290633
tight_clusters,negative,0.297965
tight_clusters,negative,0.323135
tight_clusters,negative,0.160244
tight_clusters,negative,0.254045
tight_clusters,negative,0.477994
tight_clusters,negative,0.234092
tight_clusters,negative,0.164550
tight_clusters,negative,0.123265
tight_clusters,negative,0.196926
tight_clusters,negative,0.363242
tight_clusters,negative,0.222055
tight_clusters,negative,0.213481
tight_clusters,negative,0.498250
tight_clusters,negative,0.282390
tight_clusters,negative,0.154996
tight_clusters,negative,0.332077
tight_clusters,negative,0.229379
tight_clusters,negative,0.330813
tight_clusters,negative,0.192891
tight_clusters,negative,0.216201
tight_clusters,negative,0.439846
tight_clusters,negative,0.840656
tight_clusters,negative,0.263012
tight_clusters,negative,0.314799
tight_clusters,negative,0.349186
tight_clusters,negative,0.449145
tight_clusters,negative,0.146747
tight_clusters,negative,0.174322
tight_clusters,negative,0.212541
tight_clusters,negative,0.286950
tight_clusters,negative,0.328895
tight_clusters,negative,0.258136
tight_clusters,negative,0.080685
tight_clusters,negative,0.238375
tight_clusters,negative,0.403921
tight_clusters,negative,0.337666
tight_clusters,negative,0.158344
tight_clusters,negative,0.182030
tight_clusters,negative,0.380938
tight_clusters,negative,0.168260
tight_clusters,negative,0.146641
tight_clusters,negative,0.074244
tight_clusters,negative,0.212344
tight_clusters,negative,0.171808
tight_clusters,negative,0.340689
tight_clusters,negative,0.307532
tight_clusters,negative,0.127043
tight_clusters,negative,0.439426
tight_clusters,negative,0.204828
tight_clusters,negative,0.215349
tight_clusters,negative,0.241500
tight_clusters,negative,0.254611
tight_clusters,negative,0.389285
tight_clusters,negative,0.339490
tight_clusters,negative,0.256064
tight_clusters,negative,0.242554
tight_clusters,negative,0.399558
tight_clusters,negative,0.228720
tight_clusters,negative,0.182392
tight_clusters,negative,0.235060
tight_clusters,negative,0.238342
tight_clusters,negative,0.303435
tight_clusters,negative,0.099428
tight_clusters,negative,0.270930
high_compression,positive,0.469154
high_compression,positive,0.353471
high_compression,positive,0.432578
high_compression,positive,0.397369
high_compression,positive,0.198404
high_compression,positive,0.275691
high_compression,positive,0.398763
high_compression,positive,0.364390
high_compression,positive,0.403233
high_compression,positive,0.385616
high_compression,positive,0.208707
high_compression,positive,0.443722
high_compression,positive,0.579269
high_compression,positive,0.282315
high_compression,positive,0.383305
high_compression,positive,0.325540
high_compression,positive,0.295577
high_compression,positive,0.527134
high_compression,positive,0.372597
high_compression,positive,0.401798
high_compression,positive,0.366877
high_compression,positive,0.377727
high_compression,positive,0.325828
high_compression,positive,0.337419
high_compression,positive,0.523323
high_compression,positive,0.276385
high_compression,positive,0.206944
high_compression,positive,0.552571
high_compression,positive,0.344017
high_compression,positive,0.500137
high_compression,positive,0.331105
high_compression,positive,0.197567
high_compression,positive,0.324848
high_compression,positive,0.275039
high_compression,positive,0.491655
high_compression,positive,0.392455
high_compression,positive,0.332141
high_compression,positive,0.338976
high_compression,positive,0.335562
high_compression,positive,0.483686
high_compression,positive,0.388666
high_compression,positive,0.518321
high_compression,positive,0.427263
high_compression,positive,0.458867
high_compression,positive,0.526929
high_compression,positive,0.196572
high_compression,positive,0.221469
high_compression,positive,0.474179
high_compression,positive,0.305889
high_compression,positive,0.392025
high_compression,positive,0.318299
high_compression,positive,0.306996
high_compression,positive,0.164944
high_compression,positive,0.337118
high_compression,positive,0.348710
high_compression,positive,0.247107
high_compression,positive,0.377363
high_compression,positive,0.205876
high_compression,positive,0.463398
high_compression,positive,0.410022
high_compression,positive,0.528288
high_compression,positive,0.447452
high_compression,positive,0.222595
high_compression,positive,0.258561
high_compression,positive,0.563363
high_compression,positive,0.370999
high_compression,positive,0.284097
high_compression,positive,0.267929
high_compression,positive,0.383569
high_compression,positive,0.212338
high_compression,positive,0.482470
high_compression,positive,0.246053
high_compression,positive,0.423661
high_compression,positive,0.215158
high_compression,positive,0.300116
high_compression,positive,0.300460
high_compression,positive,0.247545
high_compression,positive,0.226195
high_compression,negative,0.475578
high_compression,negative,0.266135
high_compression,negative,0.395444
high_compression,negative,0.274510
high_compression,negative,0.541289
high_compression,negative,0.296733
high_compression,negative,0.400358
high_compression,negative,0.354472
high_compression,negative,0.365518
high_compression,negative,0.318133
high_compression,negative,0.505302
high_compression,negative,0.271445
high_compression,negative,0.282085
high_compression,negative,0.404032
high_compression,negative,0.608421
high_compression,negative,0.498142
high_compression,negative,0.574083
high_compression,negative,0.300921
high_compression,negative,0.363670
high_compression,negative,0.269409
high_compression,negative,0.215866
high_compression,negative,0.449822
high_compression,negative,0.347586
high_compression,negative,0.264677
high_compression,negative,0.274267
high_compression,negative,0.233185
high_compression,negative,0.361377
high_compression,negative,0.477434
high_compression,negative,0.262998
high_compression,negative,0.331271
high_compression,negative,0.295180
high_compression,negative,0.428436
high_compression,negative,0.320382
high_compression,negative,0.387679
high_compression,negative,0.267858
high_compression,negative,0.330514
high_compression,negative,0.216802
high_compression,negative,0.221203
high_compression,negative,0.395953
high_compression,negative,0.288470
high_compression,negative,0.435798
high_compression,negative,0.213608
high_compression,negative,0.366694
high_compression,negative,0.341167
high_compression,negative,0.553589
high_compression,negative,0.296345
high_compression,negative,0.432502
high_compression,negative,0.215450
high_compression,negative,0.861203
high_compression,negative,0.409654
high_compression,negative,0.623233
high_compression,negative,0.324330
high_compression,negative,0.299748
high_compression,negative,0.162352
high_compression,negative,0.400474
high_compression,negative,0.304722
high_compression,negative,0.448498
high_compression,negative,0.507148
high_compression,negative,0.286839
high_compression,negative,0.595864
high_compression,negative,0.417974
high_compression,negative,0.376077
high_compression,negative,0.167432
high_compression,negative,0.453086
high_compression,negative,0.304591
high_compression,negative,0.284231
high_compression,negative,0.292181
high_compression,negative,0.311760
high_compression,negative,0.404040
high_compression,negative,0.438036
high_compression,negative,0.377412
high_compression,negative,0.601943
high_compression,negative,0.405160
high_compression,negative,0.386976
high_compression,negative,0.397009
high_compression,negative,0.582304
high_compression,negative,0.350861
high_compression,negative,0.394230
high_compression,negative,0.302384
high_compression,negative,0.372737
high_compression,negative,0.382044
high_compression,negative,0.295965
high_compression,negative,0.245155
high_compression,negative,0.280302
high_compression,negative,0.321834
high_compression,negative,0.490677
high_compression,negative,0.403537
high_compression,negative,0.224819
high_compression,negative,0.337161
high_compression,negative,0.318274
high_compression,negative,0.504096
high_compression,negative,0.408948
high_compression,negative,0.356701
high_compression,negative,0.360028
high_compression,negative,0.318127
high_compression,negative,0.334153
high_compression,negative,0.488677
high_compression,negative,0.467540
high_compression,negative,0.171355
high_compression,negative,0.346539
high_compression,negative,0.242716
high_compression,negative,0.169626
high_compression,negative,0.292512
high_compression,negative,0.562922
high_compression,negative,0.207386
high_compression,negative,0.501664
high_compression,negative,0.126907
high_compression,negative,0.369838
high_compression,negative,0.497747
high_compression,negative,0.241514
high_compression,negative,0.226651
high_compression,negative,0.254631
high_compression,negative,0.276994
high_compression,negative,0.491276
high_compression,negative,0.000000
high_compression,negative,0.187806
high_compression,negative,0.256155
high_compression,negative,0.311846
high_compression,negative,0.479829
high_compression,negative,0.276350
high_compression,negative,0.428324
high_compression,negative,0.192106
high_compression,negative,0.161668
high_compression,negative,0.448410
high_compression,negative,0.311726
high_compression,negative,0.199005
high_compression,negative,0.244399
high_compression,negative,0.255541
high_compression,negative,0.446937
high_compression,negative,0.487114
high_compression,negative,0.483186
high_compression,negative,0.302119
high_compression,negative,0.481770
high_compression,negative,0.523837
high_compression,negative,0.450501
high_compression,negative,0.413781
high_compression,negative,0.393970
high_compression,negative,0.402921
high_compression,negative,0.250840
high_compression,negative,0.319906
high_compression,negative,0.273325
high_compression,negative,0.498289
high_compression,negative,0.454158
high_compression,negative,0.274843
high_compression,negative,0.422208
high_compression,negative,0.553062
high_compression,negative,0.325958
high_compression,negative,0.455120
high_compression,negative,0.282817
high_compression,negative,0.216257
high_compression,negative,0.720335
high_compression,negative,0.331833
high_compression,negative,0.374822
high_compression,negative,0.268654
high_compression,negative,0.244520
high_compression,negative,0.295951
high_compression,negative,0.204944
high_compression,negative,0.331240
high_compression,negative,0.353837
high_compression,negative,0.336487
high_compression,negative,0.410585
high_compression,negative,0.224121
high_compression,negative,0.196484
high_compression,negative,0.415411
high_compression,negative,0.152117
high_compression,negative,0.456500
high_compression,negative,0.190467
high_compression,negative,0.297926
high_compression,negative,0.332353
high_compression,negative,0.731955
high_compression,negative,0.399597
high_compression,negative,0.382568
high_compression,negative,0.243216
high_compression,negative,0.212982
high_compression,negative,0.554450
high_compression,negative,0.459675
high_compression,negative,0.300870
high_compression,negative,0.238394
high_compression,negative,0.279371
high_compression,negative,0.501828
high_compression,negative,0.491214
high_compression,negative,0.228882
high_compression,negative,0.376062
high_compression,negative,0.387665
high_compression,negative,0.307045
high_compression,negative,0.435148
high_compression,negative,0.286219
high_compression,negative,0.403862
high_compression,negative,0.485776
high_compression,negative,0.218634
high_compression,negative,0.394085
high_compression,negative,0.536616
high_compression,negative,0.395279
high_compression,negative,0.361612
high_compression,negative,0.295824
high_compression,negative,0.235460
high_compression,negative,0.246754
high_compression,negative,0.287712
high_compression,negative,0.580623
high_compression,negative,0.323644
high_compression,negative,0.230407
high_compression,negative,0.662537
high_compression,negative,0.394035
high_compression,negative,0.332371
high_compression,negative,0.326169
high_compression,negative,0.424709
high_compression,negative,0.315728
high_compression,negative,0.365121
high_compression,negative,0.253823
high_compression,negative,0.386884
high_compression,negative,0.454711
high_compression,negative,0.329743
high_compression,negative,0.354370
high_compression,negative,0.469638
high_compression,negative,0.264174
high_compression,negative,0.280556
high_compression,negative,0.364042
high_compression,negative,0.380397
high_compression,negative,0.383226
high_compression,negative,0.410201
high_compression,negative,0.282498
high_compression,negative,0.392452
high_compression,negative,0.316891
high_compression,negative,0.361044
high_compression,negative,0.574864
high_compression,negative,0.197742
high_compression,negative,0.230650
